symbol,trade_date,open,high,low,close,volume,amount
000006,20230103,6.2,6.26,5.98,6.12,1066476.7,650673.926
000006,20230104,6.12,6.43,6.02,6.16,1375250.5,858082.791
000006,20230105,6.12,6.16,5.88,5.92,1137287.08,678287.368
000006,20230106,6.06,6.09,5.71,5.74,899284.67,524128.326
000006,20230109,5.66,5.79,5.64,5.7,596252.84,340250.407
000006,20230110,5.69,5.7,5.57,5.62,541389.77,304118.456
000006,20230111,5.67,5.73,5.61,5.67,611498.94,347302.884
000006,20230112,5.61,5.65,5.48,5.54,464730.61,258409.817
000006,20230113,5.56,5.56,5.42,5.52,403604.11,220870.196
000006,20230116,5.45,5.49,5.38,5.4,479653.56,259500.716
000006,20230117,5.39,5.45,5.34,5.37,445884.04,240381.659
000006,20230118,5.47,5.47,5.35,5.37,285408.56,154024.478
000006,20230119,5.32,5.43,5.3,5.36,336662.92,180526.656
000006,20230120,5.39,5.55,5.36,5.55,490387.7,268320.627
000006,20230130,5.63,5.64,5.5,5.58,462611.82,256587.139
000006,20230131,5.54,5.64,5.43,5.64,447188.01,248850.779
000006,20230201,5.64,5.64,5.51,5.58,438520.16,243199.894
000006,20230202,5.51,5.62,5.42,5.53,586403.75,323084.459
000006,20230203,5.51,5.55,5.42,5.47,317678.79,173669.193
000006,20230206,5.43,5.49,5.39,5.39,280322.43,151726.674
000006,20230207,5.39,5.5,5.37,5.42,377659.51,205284.544
000006,20230208,5.39,5.54,5.38,5.47,457298.22,250301.053
000006,20230209,5.43,5.62,5.38,5.59,534171.39,294996.571
000006,20230210,5.59,5.86,5.55,5.86,969340.48,557478.486
000006,20230213,5.86,5.86,5.61,5.76,659528.82,377903.895
000006,20230214,5.75,5.85,5.69,5.72,439744.8,252509.213
000006,20230215,5.72,5.72,5.56,5.57,467679.13,262309.784
000006,20230216,5.57,5.63,5.3,5.34,520517.55,285683.993
000006,20230217,5.34,5.39,5.31,5.36,317212.83,169821.293
000006,20230220,5.36,5.37,5.22,5.37,295644.79,156605.642
000006,20230221,5.48,5.91,5.46,5.82,1490447.45,856007.866
000006,20230222,5.83,6.15,5.64,6.07,1579957.89,938862.885
000006,20230223,5.98,6.12,5.9,5.94,932828.13,557784.581
000006,20230224,5.91,5.98,5.79,5.88,546662.58,320689.798
000006,20230227,5.92,5.97,5.69,5.72,533276.23,308984.472
000006,20230228,5.74,5.75,5.62,5.73,402411.29,228473.329
000006,20230301,5.68,5.79,5.64,5.77,408148.28,233659.715
000006,20230302,5.75,5.75,5.66,5.71,342375.69,194869.515
000006,20230303,5.68,5.91,5.68,5.87,620998.8,361721.824
000006,20230306,5.8,5.82,5.63,5.65,474718.66,270060.894
000006,20230307,5.66,5.68,5.5,5.51,372563.61,207840.814
000006,20230308,5.51,5.56,5.47,5.56,179313.11,99037.907
000006,20230309,5.56,5.57,5.46,5.54,193809.19,106788.051
000006,20230310,5.48,5.78,5.36,5.65,565038.07,314845.767
000006,20230313,5.5,5.56,5.42,5.46,310807.41,170167.902
000006,20230314,5.42,5.44,5.31,5.35,249745.43,134152.648
000006,20230315,5.35,5.42,5.35,5.38,165446.98,89174.968
000006,20230316,5.34,5.47,5.32,5.39,185699.73,100406.272
000006,20230317,5.43,5.46,5.38,5.39,200482.02,108576.58
000006,20230320,5.41,5.43,5.3,5.31,203878.47,109239.451
000006,20230321,5.3,5.33,5.25,5.32,150212.71,79637.476
000006,20230322,5.33,5.38,5.3,5.34,174220.86,93032.002
000006,20230323,5.31,5.33,5.26,5.3,171900.39,90876.841
000006,20230324,5.3,5.41,5.23,5.41,312571.28,166267.569
000006,20230327,5.35,5.35,5.24,5.28,203527.0,107471.217
000006,20230328,5.32,5.33,5.23,5.24,146422.68,77070.899
000006,20230329,5.22,5.26,5.08,5.09,253141.33,130115.54
000006,20230330,5.05,5.07,4.96,5.04,200058.94,100282.502
000006,20230331,5.04,5.09,5.03,5.08,124734.43,63216.06
000006,20230403,5.08,5.16,5.04,5.12,191629.26,98138.775
000006,20230404,5.11,5.13,4.99,5.01,198110.98,99902.902
000006,20230406,5.01,5.06,4.95,5.02,139133.01,69746.313
000006,20230407,5.0,5.23,5.0,5.16,342549.52,176811.756
000006,20230410,5.14,5.14,5.01,5.03,231145.0,116641.62
000006,20230411,5.03,5.18,4.99,5.17,257274.53,131712.537
000006,20230412,5.18,5.2,5.09,5.16,185755.0,95469.066
000006,20230413,5.15,5.2,5.11,5.16,153598.44,79195.152
000006,20230414,5.18,5.22,5.1,5.11,173111.9,89130.043
000006,20230417,5.1,5.12,5.04,5.11,138260.14,70305.941
000006,20230418,5.11,5.14,5.06,5.06,104507.49,53227.626
000006,20230419,5.05,5.06,4.96,4.96,181808.25,90913.575
