symbol,trade_date,open,high,low,close,volume,amount
000564,20230103,1.52,1.58,1.51,1.53,4571591.88,699938.674
000564,20230104,1.54,1.6,1.52,1.57,4119396.35,645972.84
000564,20230105,1.58,1.6,1.53,1.54,3099685.64,481938.484
000564,20230106,1.53,1.56,1.5,1.53,2770282.57,422688.726
000564,20230109,1.52,1.56,1.51,1.53,2084226.39,319716.774
000564,20230110,1.54,1.55,1.5,1.51,2161345.48,328631.283
000564,20230111,1.5,1.51,1.43,1.43,4012820.8,584177.447
000564,20230112,1.41,1.43,1.36,1.37,3332263.36,464489.726
000564,20230113,1.38,1.44,1.37,1.44,1953647.74,277071.911
000564,20230116,1.51,1.51,1.45,1.51,3833568.38,575824.361
000564,20230117,1.54,1.59,1.52,1.59,3662935.98,577315.189
000564,20230118,1.64,1.67,1.62,1.67,1688981.17,280667.075
000564,20230119,1.74,1.75,1.59,1.6,6415205.76,1065677.507
000564,20230120,1.61,1.68,1.61,1.68,3745316.79,623693.971
000564,20230130,1.6,1.66,1.6,1.6,4895289.45,787916.435
000564,20230131,1.55,1.57,1.52,1.52,3509658.9,537179.069
000564,20230201,1.55,1.6,1.53,1.6,3080716.68,484377.8
000564,20230202,1.64,1.66,1.57,1.6,3771154.12,610208.195
000564,20230203,1.63,1.67,1.57,1.65,3369938.15,547522.403
000564,20230206,1.62,1.62,1.57,1.57,2639325.55,419314.584
000564,20230207,1.56,1.62,1.55,1.59,1968452.35,312886.268
000564,20230208,1.57,1.59,1.56,1.57,1672882.04,262841.675
000564,20230209,1.56,1.65,1.53,1.61,3023105.18,477600.771
000564,20230210,1.59,1.62,1.57,1.58,1623563.89,258192.757
000564,20230213,1.57,1.63,1.56,1.59,1671145.11,266883.864
000564,20230214,1.61,1.62,1.57,1.58,1391921.35,220840.5
000564,20230215,1.57,1.59,1.53,1.55,1823517.14,283720.107
000564,20230216,1.54,1.56,1.5,1.52,2072571.82,317636.124
000564,20230217,1.51,1.6,1.51,1.58,2624906.71,406416.344
000564,20230220,1.56,1.58,1.53,1.54,1626052.68,252046.337
000564,20230221,1.54,1.56,1.53,1.54,1257436.75,193737.662
000564,20230222,1.53,1.54,1.51,1.52,1286023.6,195658.088
000564,20230223,1.51,1.57,1.51,1.53,1615775.05,248513.912
000564,20230224,1.53,1.56,1.52,1.54,1592446.51,245160.583
000564,20230227,1.53,1.53,1.5,1.51,1369390.56,207382.401
000564,20230228,1.5,1.52,1.47,1.48,1644547.21,244776.561
000564,20230301,1.48,1.52,1.47,1.5,1372620.34,205220.085
000564,20230302,1.49,1.49,1.45,1.46,1937113.45,284017.633
000564,20230303,1.48,1.53,1.47,1.53,3012358.33,455508.64
000564,20230306,1.52,1.53,1.48,1.5,2149896.93,323671.823
000564,20230307,1.49,1.52,1.48,1.48,1510825.28,225906.237
000564,20230308,1.48,1.5,1.47,1.49,1166791.75,173618.545
000564,20230309,1.49,1.5,1.47,1.49,1046108.92,154966.123
000564,20230310,1.48,1.55,1.47,1.51,2415129.86,366727.9
000564,20230313,1.49,1.5,1.47,1.48,1574036.11,232998.918
000564,20230314,1.48,1.49,1.46,1.47,1019525.67,150016.913
000564,20230315,1.47,1.49,1.46,1.47,762359.89,112391.631
000564,20230316,1.47,1.53,1.46,1.5,2388716.69,359321.383
000564,20230317,1.48,1.5,1.47,1.47,1449494.39,214657.808
000564,20230320,1.54,1.54,1.54,1.54,399430.48,61512.294
000564,20230321,1.62,1.62,1.62,1.62,148477.11,24053.292
000564,20230322,1.7,1.7,1.66,1.7,6679751.96,1132820.759
000564,20230323,1.67,1.69,1.62,1.63,4259958.32,702694.629
000564,20230324,1.63,1.67,1.63,1.64,2053732.92,338965.95
000564,20230327,1.63,1.64,1.56,1.58,2329221.54,369942.246
000564,20230328,1.57,1.62,1.55,1.58,1796558.08,284920.246
000564,20230329,1.56,1.58,1.55,1.57,1274147.94,198949.365
000564,20230330,1.56,1.61,1.56,1.58,1387074.58,219830.042
000564,20230331,1.59,1.61,1.57,1.58,1146956.93,181832.859
000564,20230403,1.57,1.58,1.55,1.56,1324611.44,207005.606
000564,20230404,1.56,1.58,1.55,1.57,977065.39,152768.874
000564,20230406,1.56,1.57,1.54,1.55,1131111.02,175655.049
000564,20230407,1.55,1.58,1.54,1.56,1012105.91,157762.116
000564,20230410,1.55,1.55,1.5,1.51,1773750.44,269677.806
000564,20230411,1.5,1.52,1.49,1.5,819343.19,123017.637
000564,20230412,1.5,1.52,1.49,1.51,765345.22,115290.274
000564,20230413,1.51,1.53,1.49,1.51,882844.62,133114.712
000564,20230414,1.51,1.52,1.49,1.51,858153.07,128991.314
000564,20230417,1.5,1.51,1.48,1.5,704686.69,105198.673
000564,20230418,1.49,1.5,1.48,1.48,657979.81,97639.932
000564,20230419,1.48,1.55,1.47,1.55,2055353.33,314487.695
000564,20230420,1.56,1.63,1.53,1.54,2750645.12,433802.678
000564,20230421,1.53,1.53,1.5,1.51,1334630.49,201885.895
000564,20230424,1.49,1.59,1.48,1.56,1837578.29,282633.715
000564,20230425,1.55,1.6,1.54,1.55,1269368.7,198029.388
000564,20230426,1.56,1.57,1.53,1.54,905654.99,139985.608
000564,20230427,1.55,1.56,1.53,1.53,801491.96,123624.234
000564,20230428,1.53,1.54,1.5,1.53,1267233.41,193217.669
000564,20230504,1.45,1.45,1.45,1.45,571472.0,82863.44
000564,20230505,1.4,1.45,1.38,1.39,2638013.92,369938.471
000564,20230508,1.39,1.41,1.32,1.32,2862987.88,387226.862
000564,20230509,1.31,1.32,1.25,1.28,2884699.78,366008.891
000564,20230510,1.26,1.34,1.23,1.34,2450593.76,312617.752
000564,20230511,1.34,1.39,1.29,1.33,2451118.0,327797.673
000564,20230512,1.31,1.34,1.29,1.3,1367641.29,179248.11
000564,20230515,1.28,1.29,1.25,1.26,1414483.84,179401.206
000564,20230516,1.26,1.28,1.25,1.26,976881.54,123685.57
000564,20230517,1.25,1.3,1.24,1.27,1322903.04,167749.666
000564,20230518,1.26,1.27,1.24,1.25,1084035.88,136120.808
000564,20230519,1.24,1.25,1.19,1.19,2371271.78,285900.704
000564,20230522,1.16,1.25,1.13,1.25,3575304.57,430205.532
000564,20230523,1.22,1.29,1.21,1.21,2586161.52,321161.266
000564,20230524,1.18,1.23,1.16,1.19,2074219.89,246510.782
000564,20230525,1.18,1.21,1.17,1.17,1246709.69,147581.66
000564,20230526,1.17,1.2,1.15,1.19,1222505.48,143320.714
000564,20230529,1.17,1.21,1.16,1.17,1308354.49,154410.801
000564,20230530,1.16,1.17,1.13,1.14,1540105.96,177107.44
000564,20230531,1.13,1.17,1.13,1.14,955007.97,109599.35
000564,20230601,1.14,1.18,1.13,1.16,1277222.28,147966.338
000564,20230602,1.15,1.22,1.15,1.22,2282784.55,272626.09
000564,20230605,1.2,1.21,1.18,1.18,1487717.27,177687.88
000564,20230606,1.15,1.23,1.14,1.18,1859641.61,219282.555
000564,20230607,1.18,1.2,1.17,1.19,1020227.03,121119.278
000564,20230608,1.19,1.24,1.18,1.22,1739385.57,211924.909
000564,20230609,1.21,1.23,1.19,1.2,1177032.93,141953.507
000564,20230612,1.19,1.21,1.17,1.18,1033342.9,122488.36
000564,20230613,1.18,1.18,1.15,1.16,1129230.88,131555.64
000564,20230614,1.16,1.19,1.15,1.17,1002524.0,117545.16
000564,20230615,1.17,1.18,1.16,1.16,775146.05,90290.179
000564,20230616,1.19,1.22,1.19,1.22,1304619.39,158653.85
000564,20230619,1.23,1.24,1.19,1.2,1922843.81,233040.07
000564,20230620,1.19,1.2,1.17,1.17,992731.78,117018.169
000564,20230621,1.17,1.19,1.16,1.18,750775.2,88425.504
000564,20230626,1.17,1.18,1.16,1.16,662486.66,77375.265
000564,20230627,1.17,1.19,1.15,1.17,984353.46,115166.801
000564,20230628,1.16,1.17,1.15,1.16,796084.08,92302.945
000564,20230629,1.16,1.17,1.15,1.16,555739.01,64456.981
000564,20230630,1.17,1.2,1.16,1.18,914674.08,107812.385
000564,20230703,1.17,1.18,1.16,1.17,765560.91,89614.774
000564,20230704,1.17,1.18,1.16,1.17,599343.93,70166.609
000564,20230705,1.17,1.18,1.16,1.17,572124.81,66817.884
000564,20230706,1.16,1.17,1.15,1.16,801776.88,93058.511
000564,20230707,1.16,1.19,1.15,1.18,1309956.34,153787.395
000564,20230710,1.17,1.19,1.16,1.17,1029556.04,120585.834
000564,20230711,1.17,1.17,1.15,1.16,764691.38,88798.99
000564,20230712,1.16,1.17,1.15,1.16,722974.53,83709.488
000564,20230713,1.15,1.17,1.15,1.16,837371.52,96880.74
000564,20230714,1.15,1.17,1.15,1.15,599598.88,69421.297
000564,20230717,1.12,1.13,1.09,1.09,2225083.45,245528.457
000564,20230718,1.08,1.14,1.06,1.14,2526577.65,279675.204
000564,20230719,1.12,1.18,1.11,1.14,2117518.98,241502.264
000564,20230720,1.14,1.16,1.12,1.13,1182615.91,134653.516
000564,20230721,1.13,1.17,1.12,1.15,1147454.28,131695.543
000564,20230724,1.14,1.15,1.11,1.12,1052560.94,118953.904
000564,20230725,1.12,1.14,1.12,1.13,864816.25,97612.129
000564,20230726,1.13,1.19,1.12,1.16,2033262.09,234689.366
000564,20230727,1.15,1.17,1.14,1.15,1028809.75,118602.873
000564,20230728,1.14,1.17,1.14,1.15,986247.51,113731.307
000564,20230731,1.15,1.2,1.14,1.18,2045713.86,239726.651
000564,20230801,1.17,1.24,1.17,1.24,3088571.4,379511.71
000564,20230802,1.23,1.3,1.23,1.3,1793448.96,228315.803
000564,20230803,1.36,1.37,1.27,1.28,5069954.11,672429.385
000564,20230804,1.27,1.29,1.22,1.23,2889642.18,361445.742
000564,20230807,1.22,1.29,1.22,1.29,2834522.74,359750.487
000564,20230808,1.29,1.33,1.28,1.29,2602797.2,339246.591
000564,20230809,1.28,1.29,1.25,1.25,1571644.83,198611.982
000564,20230810,1.24,1.3,1.24,1.28,1406915.16,179645.837
000564,20230811,1.27,1.32,1.26,1.31,1887298.06,243348.936
000564,20230814,1.29,1.33,1.28,1.3,1700884.45,221936.88
000564,20230815,1.3,1.37,1.3,1.33,2970271.62,401229.036
000564,20230816,1.32,1.33,1.28,1.28,2166528.25,282602.436
000564,20230817,1.28,1.31,1.27,1.29,1435267.28,185464.608
000564,20230818,1.29,1.31,1.27,1.28,1181392.02,152193.435
000564,20230821,1.27,1.32,1.27,1.29,1248789.0,161964.79
000564,20230822,1.29,1.3,1.23,1.26,1692128.46,213252.634
000564,20230823,1.25,1.26,1.21,1.22,1095284.31,134758.857
000564,20230824,1.22,1.26,1.2,1.23,1372362.72,168762.5
000564,20230825,1.22,1.23,1.2,1.2,957088.4,116063.213
000564,20230828,1.24,1.25,1.2,1.21,1252352.88,152647.371
000564,20230829,1.2,1.23,1.19,1.22,1221289.94,148107.601
000564,20230830,1.22,1.23,1.2,1.21,830946.08,100894.628
000564,20230831,1.21,1.25,1.21,1.22,992410.67,121695.267
000564,20230901,1.22,1.28,1.22,1.26,1876805.72,234563.323
000564,20230904,1.25,1.28,1.23,1.26,1449489.29,181067.904
000564,20230905,1.25,1.27,1.24,1.25,941505.33,117971.578
000564,20230906,1.25,1.26,1.23,1.24,813789.28,100908.731
000564,20230907,1.24,1.24,1.22,1.23,687213.73,84455.136
000564,20230908,1.22,1.24,1.22,1.24,618612.23,76116.844
000564,20230911,1.23,1.24,1.2,1.22,1041993.32,126819.65
000564,20230912,1.22,1.25,1.21,1.23,911292.94,111946.402
000564,20230913,1.23,1.23,1.21,1.22,586002.25,71448.346
000564,20230914,1.22,1.22,1.2,1.2,723502.59,87308.75
000564,20230915,1.2,1.23,1.2,1.21,878144.85,106793.57
000564,20230918,1.21,1.23,1.2,1.21,771401.27,93541.498
000564,20230919,1.21,1.22,1.2,1.21,622530.01,75323.965
000564,20230920,1.21,1.22,1.2,1.21,541037.83,65506.709
000564,20230921,1.21,1.22,1.2,1.21,664797.01,80401.65
000564,20230922,1.21,1.27,1.21,1.27,2973474.35,374274.92
000564,20230925,1.29,1.32,1.24,1.24,2243933.32,285790.673
000564,20230926,1.23,1.26,1.23,1.24,1020995.08,126769.003
000564,20230927,1.24,1.24,1.22,1.22,974377.67,119404.709
000564,20230928,1.22,1.25,1.22,1.23,763465.17,94200.515
000564,20231009,1.22,1.23,1.21,1.22,729613.23,89074.229
000564,20231010,1.22,1.26,1.21,1.24,1241269.44,153823.246
000564,20231011,1.23,1.24,1.22,1.23,740956.11,91139.54
000564,20231012,1.23,1.27,1.22,1.26,1205500.4,150343.612
000564,20231013,1.24,1.25,1.23,1.24,785179.46,97436.474
000564,20231016,1.24,1.27,1.24,1.25,1211031.82,151630.48
000564,20231017,1.25,1.31,1.24,1.28,1981011.34,253134.577
000564,20231018,1.28,1.29,1.24,1.25,1280393.14,161700.061
000564,20231019,1.24,1.26,1.23,1.23,899070.23,111605.613
000564,20231020,1.23,1.24,1.22,1.23,725888.26,89350.298
000564,20231023,1.23,1.23,1.18,1.19,1235610.85,149017.765
000564,20231024,1.2,1.22,1.19,1.2,736791.03,88551.128
000564,20231025,1.21,1.22,1.2,1.21,655428.21,79239.017
000564,20231026,1.2,1.21,1.19,1.2,673963.43,80795.953
000564,20231027,1.2,1.23,1.19,1.21,875221.23,105932.56
000564,20231030,1.21,1.23,1.2,1.22,806267.23,98216.535
000564,20231031,1.22,1.22,1.2,1.21,618192.21,74901.351
000564,20231101,1.21,1.22,1.2,1.21,457940.49,55460.757
000564,20231102,1.21,1.22,1.2,1.21,546530.07,66083.632
000564,20231103,1.2,1.24,1.2,1.23,889160.7,108634.484
000564,20231106,1.22,1.23,1.21,1.22,765381.95,93419.149
000564,20231107,1.22,1.23,1.21,1.22,716778.63,87416.317
000564,20231108,1.23,1.23,1.21,1.22,543784.16,66299.801
000564,20231109,1.22,1.28,1.21,1.25,2019120.84,252093.312
000564,20231110,1.24,1.27,1.23,1.25,1139431.35,142471.406
000564,20231113,1.26,1.31,1.25,1.31,2194843.8,283957.783
000564,20231114,1.32,1.38,1.3,1.38,1861578.89,251214.075
000564,20231115,1.43,1.45,1.32,1.33,4459749.08,622764.812
000564,20231116,1.31,1.4,1.31,1.4,3195723.1,440707.317
000564,20231117,1.4,1.47,1.39,1.47,2743966.35,397049.102
000564,20231120,1.5,1.54,1.43,1.51,5212622.22,786362.494
000564,20231121,1.48,1.51,1.43,1.44,3020096.12,442882.882
000564,20231122,1.45,1.51,1.44,1.51,2677472.09,397991.645
000564,20231123,1.54,1.58,1.49,1.51,2867740.55,438793.908
000564,20231124,1.51,1.52,1.45,1.49,2034399.16,300978.744
000564,20231127,1.47,1.48,1.42,1.42,2000057.32,286253.76
000564,20231128,1.39,1.48,1.36,1.44,1913158.77,271990.27
000564,20231129,1.42,1.45,1.38,1.39,1201483.77,170119.709
000564,20231130,1.4,1.43,1.39,1.43,1030413.27,146204.298
000564,20231201,1.43,1.49,1.42,1.45,1262150.65,184415.452
000564,20231204,1.45,1.45,1.41,1.42,874825.87,125101.894
000564,20231205,1.42,1.45,1.41,1.42,735647.01,105072.635
000564,20231206,1.42,1.43,1.37,1.38,1229734.15,170775.89
000564,20231207,1.38,1.41,1.36,1.37,869181.51,120272.3
000564,20231208,1.38,1.44,1.36,1.44,1416118.44,198278.961
000564,20231211,1.43,1.5,1.42,1.48,1903003.0,278679.585
000564,20231212,1.47,1.52,1.45,1.49,1546886.48,230195.69
000564,20231213,1.49,1.5,1.46,1.47,938031.15,138847.735
000564,20231214,1.51,1.54,1.5,1.54,2267634.81,346585.579
000564,20231215,1.53,1.57,1.51,1.53,1715389.27,264234.621
000564,20231218,1.5,1.51,1.45,1.45,1668573.52,244087.314
000564,20231219,1.41,1.47,1.41,1.44,1055070.68,152131.554
000564,20231220,1.44,1.49,1.43,1.48,1223628.72,179271.265
000564,20231221,1.46,1.48,1.45,1.47,849351.7,124603.988
000564,20231222,1.47,1.51,1.45,1.45,1172321.7,173023.125
000564,20231225,1.43,1.44,1.38,1.38,1695210.03,236422.01
000564,20231226,1.44,1.45,1.42,1.45,917315.73,132660.703
000564,20231227,1.5,1.51,1.44,1.45,1363283.87,200184.453
000564,20231228,1.44,1.47,1.44,1.46,800629.82,116582.469
000564,20231229,1.46,1.48,1.45,1.46,951594.37,139356.968
000564,20240102,1.41,1.46,1.39,1.43,1319118.55,187090.19
000564,20240103,1.5,1.5,1.5,1.5,255345.51,38301.827
000564,20240104,1.58,1.58,1.58,1.58,86933.62,13735.512
000564,20240105,1.66,1.66,1.66,1.66,65591.04,10888.113
000564,20240108,1.74,1.74,1.74,1.74,111288.93,19364.274
000564,20240109,1.83,1.83,1.83,1.83,60121.07,11002.156
000564,20240110,1.92,1.92,1.92,1.92,70376.56,13512.3
000564,20240111,2.02,2.02,1.82,1.82,8065053.44,1547225.808
000564,20240112,1.77,1.91,1.77,1.91,4317172.64,805775.044
000564,20240115,1.99,2.01,1.94,2.01,1392550.46,277068.202
000564,20240116,2.11,2.11,1.96,2.02,6215497.81,1274978.065
000564,20240117,2.03,2.07,1.93,1.98,3548037.97,706161.917
000564,20240118,1.96,2.08,1.91,2.08,3615529.16,727050.258
000564,20240119,2.15,2.18,2.13,2.18,3927604.88,850699.385
000564,20240122,2.14,2.18,2.07,2.07,3659199.7,769768.71
000564,20240123,2.02,2.04,1.97,1.97,2910855.66,576558.221
000564,20240124,1.94,1.99,1.87,1.89,3731595.53,707705.406
000564,20240125,1.87,1.92,1.82,1.88,2753915.49,514834.454
000564,20240126,1.91,1.96,1.89,1.9,2342819.95,449906.698
000564,20240129,1.86,1.87,1.81,1.81,1528766.31,278576.676
000564,20240130,1.75,1.9,1.72,1.86,3652757.05,657236.931
000564,20240131,1.79,1.83,1.77,1.77,1908489.59,340799.469
000564,20240201,1.71,1.73,1.68,1.68,2000886.6,338409.283
000564,20240202,1.64,1.73,1.6,1.61,2645059.07,438107.379
000564,20240205,1.6,1.6,1.53,1.53,2067535.02,318953.491
000564,20240206,1.47,1.59,1.45,1.53,2278423.35,343874.995
000564,20240207,1.54,1.57,1.47,1.48,2137305.1,326795.379
000564,20240208,1.55,1.55,1.52,1.55,457874.16,70875.968
000564,20240219,1.63,1.63,1.61,1.63,509924.76,83015.406
000564,20240220,1.71,1.71,1.64,1.7,3479387.79,586909.677
000564,20240221,1.66,1.72,1.64,1.68,2137565.81,358971.092
000564,20240222,1.66,1.75,1.66,1.73,1907558.24,327536.332
000564,20240223,1.72,1.75,1.7,1.74,1657268.23,285948.448
000564,20240226,1.72,1.76,1.7,1.7,1634218.19,281608.769
000564,20240227,1.71,1.79,1.7,1.79,2922659.84,516232.458
000564,20240228,1.77,1.81,1.7,1.71,2722406.73,478239.642
000564,20240229,1.69,1.75,1.68,1.74,1527601.64,262870.579
000564,20240301,1.76,1.83,1.73,1.81,2130284.79,378795.495
000564,20240304,1.78,1.89,1.77,1.86,2031553.42,368838.761
000564,20240305,1.85,1.93,1.83,1.86,2010154.22,379002.474
000564,20240306,1.85,1.9,1.84,1.88,1518400.52,284122.96
000564,20240307,1.97,1.97,1.9,1.92,3460669.85,676472.622
000564,20240308,1.9,1.97,1.89,1.96,1832563.76,353510.822
