symbol,trade_date,open,high,low,close,volume,amount
000559,20230103,4.86,4.95,4.86,4.94,95549.65,46898.502
000559,20230104,4.94,4.99,4.91,4.96,60428.0,29941.712
000559,20230105,4.99,5.01,4.96,4.99,74064.38,36911.524
000559,20230106,5.02,5.04,4.98,5.01,77425.07,38859.853
000559,20230109,5.03,5.07,5.01,5.03,73007.26,36784.434
000559,20230110,5.03,5.05,4.98,5.03,89371.49,44877.851
000559,20230111,5.04,5.05,4.98,5.0,57961.0,29034.865
000559,20230112,4.99,5.04,4.99,5.02,48526.0,24355.404
000559,20230113,5.03,5.05,5.01,5.03,48860.59,24580.14
000559,20230116,5.04,5.09,5.03,5.08,85482.55,43317.951
000559,20230117,5.09,5.1,5.07,5.09,59204.48,30118.879
000559,20230118,5.11,5.14,5.08,5.08,56505.83,28879.458
000559,20230119,5.06,5.11,5.05,5.1,70871.31,35989.389
000559,20230120,5.11,5.15,5.1,5.15,82451.81,42303.789
000559,20230130,5.21,5.31,5.19,5.21,172261.49,90294.619
000559,20230131,5.21,5.25,5.18,5.25,90133.7,47125.406
000559,20230201,5.25,5.32,5.25,5.3,154840.72,81830.559
000559,20230202,5.3,5.32,5.24,5.24,113377.02,59647.006
000559,20230203,5.24,5.27,5.17,5.22,116971.7,61002.197
000559,20230206,5.23,5.27,5.19,5.24,95013.16,49786.972
000559,20230207,5.28,5.28,5.2,5.28,110897.62,58293.05
000559,20230208,5.3,5.35,5.23,5.27,149695.8,79201.834
000559,20230209,5.27,5.32,5.25,5.31,109709.49,58129.167
000559,20230210,5.33,5.35,5.28,5.3,125560.96,66789.479
000559,20230213,5.33,5.33,5.28,5.3,109558.32,58075.278
000559,20230214,5.31,5.41,5.27,5.35,220642.97,117903.544
000559,20230215,5.36,5.37,5.32,5.34,101089.53,54049.626
000559,20230216,5.35,5.38,5.19,5.26,157665.59,83662.271
000559,20230217,5.28,5.3,5.24,5.24,99832.21,52580.377
000559,20230220,5.26,5.3,5.22,5.29,93108.4,49082.368
000559,20230221,5.31,5.39,5.29,5.38,143152.63,76774.871
000559,20230222,5.38,5.38,5.32,5.35,75270.09,40250.393
000559,20230223,5.37,5.41,5.35,5.38,95160.68,51222.73
000559,20230224,5.4,5.4,5.3,5.32,82233.06,43800.783
000559,20230227,5.33,5.34,5.25,5.28,86685.68,45936.803
000559,20230228,5.32,5.39,5.3,5.37,119868.84,64202.662
000559,20230301,5.37,5.39,5.35,5.37,91735.41,49250.3
000559,20230302,5.38,5.38,5.33,5.35,75209.83,40228.151
000559,20230303,5.33,5.35,5.29,5.32,81327.44,43268.733
000559,20230306,5.35,5.35,5.29,5.29,79795.94,42319.434
000559,20230307,5.28,5.31,5.17,5.17,151689.25,79533.448
000559,20230308,5.17,5.22,5.17,5.19,74729.94,38818.321
000559,20230309,5.2,5.21,5.15,5.18,72252.4,37431.849
